"4189301-NGRAMS1.txt","Perspectives on Advertising Research: Views from Winners of the American Academy of Advertising Outstanding Contribution to Research Award"
"4189320-NGRAMS1.txt","Integrated Marketing Communication (IMC) and Brand Identity as Critical Components of Brand Equity Strategy: A Conceptual Framework and Research Propositions"
"4622166-NGRAMS1.txt","When Does Humor Enhace or Inhibit Ad Responses? The Moderating Role of the Need for Humor"
"4189056-NGRAMS1.txt","An International Review of Sponsorship Research"
"20460769-NGRAMS1.txt","The Influence of Humor Strength and Humor: Message Relatedness on Ad Memorability: A Dual Process Model"
"4189193-NGRAMS1.txt","Interpreting Consumer Perceptions of Advertising: An Application of the Zaltman Metaphor Elicitation Technique"
"20460846-NGRAMS1.txt","Antecedents of True Brand Loyalty"
"20460802-NGRAMS1.txt","Direct-to-Consumer (DTC) Branded Drug Web Sites: Risk Presentation and Implications for Public Policy"
"20460852-NGRAMS1.txt","Chronological Age versus Cognitive Age for Younger Consumers: Implications for Advertising Persuasion"
"20460885-NGRAMS1.txt","The Current State of Advertising Ethics: Industry and Academic Perspectives"
"20460788-NGRAMS1.txt","A Market-Oriented Approach to Responsibly Managing Information Privacy Concerns in Direct Marketing"
"4189039-NGRAMS1.txt","Assessing the Use and Impact of Humor on Advertising Effectiveness: A Contingency Approach"
"20460745-NGRAMS1.txt","The State of Internet-Related Research in Communications, Marketing, and Advertising: 1994-2003"
"4189275-NGRAMS1.txt","A Model of Marketing Information Flow: What Creatives Obtain and Want to Know from Clients"
"27749633-NGRAMS1.txt","The Moderating Effect of Brand Commitment on the Evaluation of Competitive Brands"
"20460816-NGRAMS1.txt","The Effects of Advertising and Brand Value on Future Operating and Market Performance"
"4189074-NGRAMS1.txt","Managing the Brand in a Corporate Advertising Environment: A Decision-Making Framework for Brand Managers"
"20460744-NGRAMS1.txt","Audience Response to Product Placements: An Integrative Framework and Future Research Agenda"
"20460804-NGRAMS1.txt","Presumed Influence of Direct-to-Consumer (DTC) Prescription Drug Advertising on Patients: The Physician's Perspective"
"4189295-NGRAMS1.txt","Sponsorship-Linked Marketing: Opening the Black Box"
"4189186-NGRAMS1.txt","Advertising's Influence on Subsequent Product Trial Processing"
"4189268-NGRAMS1.txt","Do Not Wait to Reveal the Brand Name: The Effect of Brand-Name Placement on Television Advertising Effectiveness"
"4189032-NGRAMS1.txt","A Content Analysis of Guilt Appeals in Popular Magazine Advertisements"
"20460740-NGRAMS1.txt","Perceived Effects of Direct-to-Consumer (DTC) Prescription Drug Advertising on Self and Others: A Third-Person Effect Study of Older Consumers"
"27749649-NGRAMS1.txt","Nature and Impact of Alcohol Messages in a Youth-Oriented Television Series"
"20460758-NGRAMS1.txt","On the Potential for Advertising to Facilitate Trust in the Advertised Brand"
"27749643-NGRAMS1.txt","Temporal Construal in Advertising: The Moderating Role of Temporal Orientation and Attribute Importance in Consumer Evaluations"
"4189069-NGRAMS1.txt","Context Is Key: The Effect of Program-Induced Mood on Thoughts about the Ad"
"4189287-NGRAMS1.txt","International Services Advertising (ISA): Defining the Domain and Reviewing the Literature"
